LR,WARMUP_STEPS,BATCH_SIZE,CONTEXT_LEN,N_LAYERS,N_HEADS,D_MODEL,D_FF,MODEL_VARIANT,val_acc_last,time_sec
0.0005,100,32,128,2,2,128,512,mq_rope,0.3125,108.03550887107849
0.0003,100,32,64,2,2,128,512,mq_rope,0.3125,37.6554639339447
0.0003,300,32,64,2,2,128,512,mq_rope,0.3125,38.2895028591156
0.0005,300,32,128,2,2,128,512,mq_rope,0.296875,105.15261793136597
0.0005,100,32,32,2,2,128,512,mq_rope,0.29296875,24.536701202392578
0.0005,300,32,32,2,2,128,512,mq_rope,0.28125,25.050699710845947
0.0005,1000,32,128,2,2,128,512,mq_rope,0.28125,87.26739621162415
0.0005,1000,32,32,2,2,128,512,mq_rope,0.265625,20.956710815429688
0.0003,100,32,128,2,2,128,512,mq_rope,0.2578125,85.94270324707031
0.0003,300,32,128,2,2,128,512,mq_rope,0.2578125,90.83539700508118
0.0003,1000,32,128,2,2,128,512,mq_rope,0.23046875,88.41566586494446
0.0003,100,32,32,2,2,128,512,mq_rope,0.21484375,19.73236107826233
0.0003,300,32,32,2,2,128,512,mq_rope,0.2109375,20.30421280860901
0.0003,1000,32,32,2,2,128,512,mq_rope,0.2109375,20.82862401008606
0.0001,100,32,64,2,2,128,512,mq_rope,0.203125,39.186809062957764
0.0001,100,32,128,2,2,128,512,mq_rope,0.12890625,92.90853691101074
0.0001,300,32,64,2,2,128,512,mq_rope,0.12890625,40.25577998161316
0.0001,300,32,32,2,2,128,512,mq_rope,0.12109375,21.09818172454834
0.0001,100,32,32,2,2,128,512,mq_rope,0.1171875,21.3302218914032
0.0001,300,32,128,2,2,128,512,mq_rope,0.1015625,90.84126091003418
0.0001,1000,32,64,2,2,128,512,mq_rope,0.078125,39.04486107826233
0.0001,1000,32,128,2,2,128,512,mq_rope,0.07421875,91.9501850605011
0.0001,1000,32,32,2,2,128,512,mq_rope,0.0625,21.302154064178467
0.001,300,32,32,2,2,128,512,tinygpt,0.36328125,16.77158236503601
0.001,100,32,32,2,2,128,512,tinygpt,0.359375,12.96422290802002
0.001,1000,32,64,2,2,128,512,tinygpt,0.3515625,34.39473009109497
0.0005,300,32,32,2,2,128,512,tinygpt,0.34765625,16.979569911956787
0.001,300,32,64,2,2,128,512,tinygpt,0.34375,33.533024072647095
0.001,1000,32,32,2,2,128,512,tinygpt,0.34375,17.06558322906494
0.001,100,32,64,2,2,128,512,tinygpt,0.3359375,27.910497903823853
0.001,100,32,128,2,2,128,512,tinygpt,0.3203125,74.6635229587555
0.0005,100,32,32,2,2,128,512,tinygpt,0.3203125,18.416860103607178
0.001,300,32,128,2,2,128,512,tinygpt,0.31640625,78.44855880737305
0.0005,100,32,64,2,2,128,512,tinygpt,0.28515625,33.41623401641846
0.0005,1000,32,32,2,2,128,512,tinygpt,0.28515625,22.83217215538025
0.0005,300,32,64,2,2,128,512,tinygpt,0.28125,33.90505599975586
0.0003,300,32,32,2,2,128,512,tinygpt,0.28125,18.48656392097473
0.0005,1000,32,64,2,2,128,512,tinygpt,0.27734375,40.447028160095215
