MODEL_VARIANT,LR,WARMUP_STEPS,CONTEXT_LEN,BETA2,BATCH_SIZE,N_LAYERS,N_HEADS,D_MODEL,D_FF,val_acc_last,time_sec
local_global,0.001,100,32,0.98,32,2,2,128,512,0.30859375,22.126681804656982
local_global,0.001,200,32,0.9,32,2,2,128,512,0.30859375,22.107667922973633
local_global,0.0007,150,32,0.98,32,2,2,128,512,0.3046875,18.972182035446167
local_global,0.0007,300,32,0.9,32,2,2,128,512,0.3046875,20.32705783843994
local_global,0.0007,300,32,0.95,32,2,2,128,512,0.3046875,21.634124040603638
local_global,0.0007,600,32,0.95,32,2,2,128,512,0.3046875,20.84727191925049
local_global,0.0007,100,32,0.95,32,2,2,128,512,0.3046875,24.617350101470947
local_global,0.0007,200,32,0.9,32,2,2,128,512,0.3046875,22.964754819869995
moe,0.001,300,64,0.98,32,2,2,128,512,0.30078125,42.33839297294617
moe,0.0007,300,64,0.95,32,2,2,128,512,0.296875,42.067811012268066
moe,0.001,300,64,0.95,32,2,2,128,512,0.296875,42.53611707687378
moe,0.001,600,64,0.98,32,2,2,128,512,0.296875,40.857203006744385
moe,0.00035,100,64,0.999,32,2,2,128,512,0.296875,43.19346213340759
moe,0.0005,100,64,0.9,32,2,2,128,512,0.296875,45.62981820106506
moe,0.0005,100,64,0.95,32,2,2,128,512,0.296875,48.0658061504364
moe,0.0005,200,64,0.98,32,2,2,128,512,0.296875,44.53955078125
moe,0.0006500000000000001,50,64,0.9,32,2,2,128,512,0.296875,44.16721701622009
moe,0.0006500000000000001,200,64,0.95,32,2,2,128,512,0.296875,43.35652184486389
moe,0.0007,150,64,0.98,32,2,2,128,512,0.29296875,43.14025402069092
moe,0.0007,300,64,0.98,32,2,2,128,512,0.29296875,41.20450305938721
moe,0.0007,300,64,0.999,32,2,2,128,512,0.29296875,41.53593707084656
moe,0.0007,600,64,0.9,32,2,2,128,512,0.29296875,43.52850008010864
moe,0.0007,600,64,0.95,32,2,2,128,512,0.29296875,43.58649396896362
moe,0.001,150,64,0.9,32,2,2,128,512,0.29296875,37.53849005699158
moe,0.001,150,64,0.999,32,2,2,128,512,0.29296875,42.515161752700806
moe,0.0013000000000000002,150,64,0.999,32,2,2,128,512,0.29296875,41.87923288345337
moe,0.0013000000000000002,300,64,0.95,32,2,2,128,512,0.29296875,48.371922969818115
moe,0.0013000000000000002,300,64,0.999,32,2,2,128,512,0.29296875,47.94509720802307
moe,0.0013000000000000002,600,64,0.999,32,2,2,128,512,0.29296875,42.76596283912659
moe,0.00035,50,64,0.95,32,2,2,128,512,0.29296875,43.96975326538086
moe,0.00035,50,64,0.999,32,2,2,128,512,0.29296875,43.78557896614075
moe,0.00035,200,64,0.999,32,2,2,128,512,0.29296875,42.73162388801575
moe,0.0005,50,64,0.98,32,2,2,128,512,0.29296875,44.94052720069885
moe,0.0005,50,64,0.999,32,2,2,128,512,0.29296875,44.90026593208313
moe,0.0005,100,64,0.98,32,2,2,128,512,0.29296875,46.69410681724548
moe,0.0005,100,64,0.999,32,2,2,128,512,0.29296875,48.005411863327026
moe,0.0005,200,64,0.9,32,2,2,128,512,0.29296875,46.24689602851868
